begin initialization: 
initialization end!
begin iteration: 
0       0.939064
test set rmse:0.977501  19110.2 20000
1       0.877685
test set rmse:0.958937  18391.2 20000
2       0.837493
test set rmse:0.953495  18183   20000
3       0.803847
test set rmse:0.949779  18041.6 20000
4       0.773606
test set rmse:0.946941  17933.9 20000
5       0.745941
test set rmse:0.944664  17847.8 20000
6       0.720397
test set rmse:0.942776  17776.5 20000
7       0.69667
test set rmse:0.941187  17716.6 20000
8       0.674532
test set rmse:0.939832  17665.7 20000
9       0.653803
test set rmse:0.938668  17622   20000
10      0.634336
test set rmse:0.93766   17584.1 20000
11      0.616006
test set rmse:0.936784  17551.3 20000
12      0.59871
test set rmse:0.936023  17522.8 20000
13      0.582356
test set rmse:0.935363  17498.1 20000
14      0.566867
test set rmse:0.934788  17476.6 20000
15      0.55217
test set rmse:0.934286  17457.8 20000
16      0.538206
test set rmse:0.933849  17441.5 20000
17      0.524918
test set rmse:0.933472  17427.4 20000
18      0.512258
test set rmse:0.933147  17415.3 20000
19      0.500183
test set rmse:0.932871  17404.9 20000
20      0.488654
test set rmse:0.932637  17396.3 20000
21      0.477633
test set rmse:0.932445  17389.1 20000
22      0.46709
test set rmse:0.932288  17383.2 20000
23      0.456993
test set rmse:0.932164  17378.6 20000
24      0.447314
test set rmse:0.93207   17375.1 20000
25      0.438029
test set rmse:0.932001  17372.5 20000
26      0.429116
test set rmse:0.931959  17370.9 20000
27      0.420552
test set rmse:0.93194   17370.2 20000
28      0.412318
test set rmse:0.931942  17370.3 20000
29      0.404397
test set rmse:0.931963  17371.1 20000
30      0.39677
test set rmse:0.931998  17372.4 20000
31      0.389424
test set rmse:0.932049  17374.3 20000
32      0.382342
test set rmse:0.932116  17376.8 20000
33      0.375512
test set rmse:0.932196  17379.8 20000
34      0.368922
test set rmse:0.932289  17383.2 20000
test set rmse:0.932289  17383.2 20000
duration:319.52 s!
