//更正初始化方法后的结果，alpha取1，初始化的幅度适中（-0.05-0.05），结果效果最好
begin initialization: 
initialization end!
begin iteration: 
0       0.93631
test set rmse:0.975076  19015.5 20000
1       0.877307
test set rmse:0.959698  18420.4 20000
2       0.837451
test set rmse:0.954433  18218.8 20000
3       0.803394
test set rmse:0.950756  18078.7 20000
4       0.772529
test set rmse:0.947943  17971.9 20000
5       0.744094
test set rmse:0.94569   17886.6 20000
6       0.717674
test set rmse:0.943827  17816.2 20000
7       0.692986
test set rmse:0.942259  17757   20000
8       0.66982
test set rmse:0.940924  17706.7 20000
9       0.648014
test set rmse:0.939782  17663.8 20000
10      0.62743
test set rmse:0.938801  17627   20000
11      0.607953
test set rmse:0.937957  17595.3 20000
12      0.589489
test set rmse:0.937227  17567.9 20000
13      0.571953
test set rmse:0.9366    17544.4 20000
14      0.555273
test set rmse:0.93606   17524.2 20000
15      0.539385
test set rmse:0.935602  17507   20000
16      0.524231
test set rmse:0.935216  17492.6 20000
17      0.509759
test set rmse:0.934896  17480.6 20000
18      0.495922
test set rmse:0.934637  17470.9 20000
19      0.482681
test set rmse:0.934433  17463.3 20000
20      0.469997
test set rmse:0.934276  17457.4 20000
21      0.457836
test set rmse:0.934163  17453.2 20000
22      0.446165
test set rmse:0.934091  17450.5 20000
23      0.434956
test set rmse:0.934058  17449.3 20000
24      0.424183
test set rmse:0.934055  17449.2 20000  //alpha=0.992的时候为0.935527，比那时效果要好
25      0.413821
test set rmse:0.934087  17450.4 20000
26      0.403849
test set rmse:0.93415   17452.7 20000
27      0.394245
test set rmse:0.934243  17456.2 20000
28      0.384989
test set rmse:0.934355  17460.4 20000
29      0.376065
test set rmse:0.934489  17465.4 20000
30      0.367455
test set rmse:0.934645  17471.2 20000
31      0.359143
test set rmse:0.934823  17477.9 20000
32      0.351115
test set rmse:0.935021  17485.3 20000
33      0.343359
test set rmse:0.935239  17493.4 20000
34      0.33586
test set rmse:0.935476  17502.3 20000
test set rmse:0.935476  17502.3 20000
duration:305.48 s!
