//alpha取1 ，初始化的幅度较大（-0.5-0.5），结果rmse很大，训练集影响不大，测试集很大
begin initialization: 
initialization end!
begin iteration: 
0       1.19218
test set rmse:1.37697   37920.7 20000
1       1.09233
test set rmse:1.19179   28407.2 20000
2       0.992544
test set rmse:1.1627    27037.5 20000
3       0.927143
test set rmse:1.1487    26390.2 20000
4       0.873959
test set rmse:1.14012   25997.6 20000
5       0.828718
test set rmse:1.1351    25769.1 20000
6       0.789123
test set rmse:1.13215   25635.1 20000
7       0.753482
test set rmse:1.13015   25544.9 20000
8       0.720896
test set rmse:1.12885   25485.9 20000
9       0.691056
test set rmse:1.12803   25449   20000
10      0.663625
test set rmse:1.12757   25428.5 20000
11      0.638421
test set rmse:1.12738   25419.9 20000
12      0.615061
test set rmse:1.12742   25421.5 20000
13      0.593317
test set rmse:1.12755   25427.3 20000
14      0.572951
test set rmse:1.12778   25437.6 20000
15      0.553787
test set rmse:1.12809   25451.6 20000
16      0.535677
test set rmse:1.12844   25467.8 20000
17      0.518611
test set rmse:1.12886   25486.3 20000
18      0.502517
test set rmse:1.12932   25507.3 20000
19      0.487276
test set rmse:1.12984   25530.6 20000
20      0.472821
test set rmse:1.13037   25554.8 20000
21      0.459079
test set rmse:1.13092   25579.7 20000
22      0.445994
test set rmse:1.13148   25604.9 20000
23      0.433527
test set rmse:1.13204   25630.3 20000
24      0.421642
test set rmse:1.13261   25656   20000
25      0.410285
test set rmse:1.13319   25682.3 20000
26      0.399414
test set rmse:1.13377   25708.9 20000
27      0.388997
test set rmse:1.13435   25735.2 20000
28      0.379012
test set rmse:1.13492   25760.8 20000
29      0.369433
test set rmse:1.13547   25785.9 20000
30      0.360218
test set rmse:1.136     25810.1 20000
31      0.351352
test set rmse:1.13653   25834.1 20000
32      0.342827
test set rmse:1.13706   25857.9 20000
33      0.334622
test set rmse:1.13757   25881.3 20000
34      0.326725
test set rmse:1.13807   25903.9 20000
test set rmse:1.13807   25903.9 20000
duration:320.67 s!
