//alpha取1 ，初始化的幅度较小（-0.005-0.005），结果测试集的rmse比适中的结果稍差
begin initialization: 
initialization end!
begin iteration: 
0       0.938977
test set rmse:0.977573  19113   20000
1       0.877674
test set rmse:0.958877  18388.9 20000
2       0.837195
test set rmse:0.95342   18180.2 20000
3       0.803075
test set rmse:0.949687  18038.1 20000
4       0.772206
test set rmse:0.946832  17929.8 20000
5       0.743791
test set rmse:0.944537  17843   20000
6       0.717401
test set rmse:0.942633  17771.1 20000
7       0.692749
test set rmse:0.941029  17710.7 20000
8       0.669624
test set rmse:0.939662  17659.3 20000
9       0.647862
test set rmse:0.938489  17615.2 20000
10      0.627323
test set rmse:0.937475  17577.2 20000
11      0.607894
test set rmse:0.9366    17544.4 20000
12      0.589479
test set rmse:0.935844  17516.1 20000
13      0.571992
test set rmse:0.935191  17491.6 20000
14      0.55536
test set rmse:0.934626  17470.5 20000
15      0.539517
test set rmse:0.934137  17452.3 20000
16      0.524404
test set rmse:0.93372   17436.7 20000
17      0.509972
test set rmse:0.933367  17423.5 20000
18      0.496174
test set rmse:0.933071  17412.4 20000
19      0.48297
test set rmse:0.932829  17403.4 20000
20      0.470322
test set rmse:0.932636  17396.2 20000
21      0.458195
test set rmse:0.932489  17390.7 20000
22      0.446557
test set rmse:0.932381  17386.7 20000
23      0.435379
test set rmse:0.93231   17384.1 20000
24      0.424635
test set rmse:0.932275  17382.8 20000
25      0.414302
test set rmse:0.932273  17382.7 20000
26      0.404357
test set rmse:0.932301  17383.7 20000
27      0.394779
test set rmse:0.932352  17385.6 20000
28      0.385549
test set rmse:0.932428  17388.4 20000
29      0.376649
test set rmse:0.932527  17392.1 20000
30      0.368062
test set rmse:0.932649  17396.7 20000
31      0.359772
test set rmse:0.932793  17402   20000
32      0.351767
test set rmse:0.932957  17408.2 20000
33      0.344031
test set rmse:0.933139  17415   20000
34      0.336553
test set rmse:0.933338  17422.4 20000
test set rmse:0.933338  17422.4 20000
duration:324.98 s!
