begin initialization: 
initialization end!
begin iteration: 
0       0.93807
test set rmse:0.981618  19271.5 20000
1       0.8719
test set rmse:0.964132  18591   20000
2       0.829188
test set rmse:0.958629  18379.4 20000
3       0.793474
test set rmse:0.954909  18237   20000
4       0.76153
test set rmse:0.952104  18130   20000
5       0.732414
test set rmse:0.949886  18045.7 20000
6       0.705597
test set rmse:0.948086  17977.4 20000
7       0.680728
test set rmse:0.946607  17921.3 20000
8       0.657556
test set rmse:0.945387  17875.1 20000
9       0.635877
test set rmse:0.944377  17837   20000
10      0.615532
test set rmse:0.943545  17805.5 20000
11      0.596383
test set rmse:0.942873  17780.2 20000
12      0.578318
test set rmse:0.942341  17760.1 20000
13      0.56124
test set rmse:0.941925  17744.4 20000
14      0.545066
test set rmse:0.941614  17732.7 20000
15      0.529724
test set rmse:0.941407  17724.9 20000
16      0.515148
test set rmse:0.941297  17720.8 20000
17      0.501283
test set rmse:0.941272  17719.9 20000
18      0.488078
test set rmse:0.94132   17721.7 20000
19      0.475487
test set rmse:0.941445  17726.4 20000
20      0.463469
test set rmse:0.941642  17733.8 20000
21      0.451989
test set rmse:0.941904  17743.7 20000
22      0.441012
test set rmse:0.942227  17755.8 20000
23      0.430508
test set rmse:0.942612  17770.3 20000
24      0.420449
test set rmse:0.943059  17787.2 20000
25      0.410809
test set rmse:0.943562  17806.2 20000
26      0.401564
test set rmse:0.944119  17827.2 20000
27      0.392692
test set rmse:0.944729  17850.3 20000
28      0.384171
test set rmse:0.94539   17875.2 20000
29      0.375984
test set rmse:0.946089  17901.7 20000
30      0.368111
test set rmse:0.94682   17929.4 20000
31      0.360536
test set rmse:0.947592  17958.6 20000
32      0.353241
test set rmse:0.948385  17988.7 20000
33      0.346214
test set rmse:0.949213  18020.1 20000
34      0.339443
test set rmse:0.95008   18053   20000
test set rmse:0.95008   18053   20000
duration:592.32 s!
