begin initialization: 
initialization end!
begin iteration: 
0       0.93802
test set rmse:0.978125  19134.6 20000
1       0.877805
test set rmse:0.960489  18450.8 20000
2       0.837606
test set rmse:0.95501   18240.9 20000
3       0.803516
test set rmse:0.951214  18096.2 20000
4       0.772646
test set rmse:0.948301  17985.5 20000
5       0.744217
test set rmse:0.945958  17896.7 20000
6       0.71781
test set rmse:0.944016  17823.3 20000
7       0.693136
test set rmse:0.942377  17761.5 20000
8       0.66999
test set rmse:0.940981  17708.9 20000
9       0.648204
test set rmse:0.939782  17663.8 20000
10      0.627641
test set rmse:0.938746  17624.9 20000
11      0.608189
test set rmse:0.937845  17591.1 20000
12      0.589751
test set rmse:0.937063  17561.8 20000
13      0.572241
test set rmse:0.936386  17536.4 20000
14      0.555586
test set rmse:0.9358    17514.4 20000
15      0.53972
test set rmse:0.935289  17495.3 20000
16      0.524586
test set rmse:0.934849  17478.9 20000
17      0.510134
test set rmse:0.934472  17464.8 20000
18      0.496317
test set rmse:0.934153  17452.8 20000
19      0.483094
test set rmse:0.933884  17442.8 20000
20      0.470428
test set rmse:0.933663  17434.5 20000
21      0.458284
test set rmse:0.933488  17428   20000
22      0.44663
test set rmse:0.933352  17422.9 20000
23      0.435437
test set rmse:0.933255  17419.3 20000
24      0.424678
test set rmse:0.933195  17417   20000
25      0.41433
test set rmse:0.933167  17416   20000
26      0.404371
test set rmse:0.933168  17416   20000
27      0.394779
test set rmse:0.933195  17417.1 20000
28      0.385534
test set rmse:0.933244  17418.9 20000
29      0.37662
test set rmse:0.933314  17421.5 20000
30      0.36802
test set rmse:0.933408  17425   20000
31      0.359717
test set rmse:0.933523  17429.3 20000
32      0.351698
test set rmse:0.933658  17434.4 20000
33      0.34395
test set rmse:0.933814  17440.2 20000
34      0.336458
test set rmse:0.933985  17446.6 20000
test set rmse:0.933985  17446.6 20000
duration:842.52 s!
