begin initialization: 
initialization end!
begin iteration: 
0	0.940628
1	0.887478
2	0.856126
3	0.830043
4	0.806579
5	0.785029
6	0.765032
7	0.746352
8	0.728824
9	0.712322
10	0.696739
11	0.681988
12	0.667996
13	0.6547
14	0.64204
15	0.629968
16	0.618444
17	0.607429
18	0.596886
19	0.586786
20	0.577102
21	0.567809
22	0.558883
23	0.550302
24	0.542047
25	0.534099
26	0.526444
27	0.519063
28	0.511945
29	0.505075
3.58127	5	2.01281
3.77078	3	2.60691
4.37794	5	2.99386
3.92685	5	4.1455
3.23951	3	4.20287
3.52034	4	4.43294
4.04226	4	4.43473
3.65605	3	4.86513
3.23813	2	6.39809
3.60341	3	6.76219
3.57737	4	6.94081
2.20997	2	6.9849
3.37174	4	7.37961
3.21045	5	10.5821
3.57274	4	10.7647
3.32118	3	10.8678
3.47588	4	11.1425
3.05763	3	11.1458
3.21099	3	11.1903
4.20688	4	11.2331
4.11682	5	12.0132
4.02849	4	12.014
3.27152	3	12.0877
4.61682	5	12.2345
3.45999	4	12.5261
3.08946	3	12.5341
3.88338	3	13.3145
3.82805	3	14.0002
3.13208	4	14.7535
3.42939	3	14.9378
3.5163	1	21.2696
3.61429	4	21.4184
2.28041	1	23.0578
2.73447	4	24.6594
3.67221	5	26.4224
3.6998	5	28.1129
2.6733	4	29.8731
2.95556	3	29.875
3.89692	5	31.0918
3.17931	4	31.7653
3.63194	5	33.6369
3.7806	3	34.2463
3.96674	5	35.3139
3.93847	3	36.1946
4.45374	4	36.4005
4.33323	5	36.8451
3.15538	2	38.18
2.33745	1	39.9688
2.1602	1	41.3148
3.62396	4	41.4562
3.15896	5	44.8457
2.42406	1	46.8736
3.96654	5	47.9417
4.41647	5	48.2822
3.55012	3	48.5848
2.92264	3	48.5908
2.11397	1	49.8317
3.36859	4	50.2304
3.36526	3	50.3638
3.57176	4	50.5472
3.88648	5	51.7871
2.52112	3	52.0164
4.05695	4	52.0197
4.3936	4	52.1746
3.06924	1	56.4564
3.56158	1	63.0181
2.62548	2	63.4093
2.94053	2	64.2939
3.96846	5	65.358
4.07638	4	65.3638
3.98023	5	66.4037
2.81631	2	67.0701
3.88693	4	67.0829
3.23522	3	67.1382
3.55866	4	67.333
3.40584	4	67.686
3.57699	4	67.865
3.64232	3	68.2775
4.2495	5	68.8408
4.08885	5	69.671
4.62674	5	69.8103
3.95677	5	70.8986
4.07657	5	71.7514
4.09293	3	72.9459
4.22699	5	73.5434
3.58301	4	73.7173
4.2551	4	73.7824
3.93976	4	73.786
3.8249	3	74.4664
4.21129	3	75.9337
4.29766	5	76.4269
4.00366	4	76.427
3.82962	5	77.7968
3.97921	3	78.7556
3.64913	3	79.177
3.91965	5	80.3441
3.62996	4	80.4811
4.01716	5	81.447
3.83023	4	81.4759
4.11116	4	81.4882
3.73673	4	81.5575
4.00546	2	85.5794
3.60391	4	85.7363
3.59719	3	86.0929
3.35391	3	86.2182
3.17112	1	90.932
3.76488	5	92.4575
3.51808	4	92.6897
3.76811	5	94.2073
2.66071	2	94.6438
3.36837	3	94.7795
3.17756	4	95.4559
3.71855	5	97.098
3.00038	4	98.0973
3.43097	4	98.4211
3.25984	3	98.4886
3.35605	2	100.327
2.77707	5	105.269
3.62587	4	105.409
3.69992	4	105.499
3.90881	5	106.69
2.13927	1	107.988
3.82494	4	108.018
3.52462	4	108.244
2.83988	2	108.95
3.43351	5	111.403
2.4416	1	113.482
3.27908	2	115.118
3.99635	5	116.125
2.6792	1	118.945
