迭代25次，alpha每次缩小到原来的0.98的结果
begin iteration: 
0       1.01492
1       1.08843
2       0.955792
3       0.892019
4       0.859377
5       0.838094
6       0.822436
7       0.809919
8       0.799262
9       0.789761
10      0.781009
11      0.772777
12      0.764964
13      0.757553
14      0.750554
15      0.743959
16      0.737715
17      0.731738
18      0.72593
19      0.720202
20      0.714483
21      0.708723
22      0.702891
23      0.696973
24      0.69097

alpha = 0.999,迭代次数为50的结果，可以发现在47次的时候居然可以到达0.54的RMSE，实在是非常好的效果，不过
随着迭代次数的再次增加，效果也变差了，说明并不是迭代的次数越多越好。！
begin iteration:
0       1.01492
1       1.08758
2       0.953488
3       0.889822
4       0.857272
5       0.836165
6       0.820807
7       0.808667
8       0.798441
9       0.789412
10      0.781184
11      0.773607
12      0.766719
13      0.76061
14      0.755264
15      0.750507
16      0.746062
17      0.741644
18      0.737018
19      0.732025
20      0.726585
21      0.720682
22      0.714348
23      0.707637
24      0.70061
25      0.693316
26      0.685784
27      0.678012
28      0.669966
29      0.661582
30      0.652791
31      0.643539
32      0.633829
33      0.623754
34      0.613508
35      0.603374
36      0.593683
37      0.584746
38      0.576807
39      0.569983
40      0.564236
41      0.559318
42      0.554852
43      0.550262
44      0.545198
45      0.539284
46      0.534836
47      0.543778
48      0.633265
49      1.04127

