begin initialization:
initialization end!
begin iteration:
0       0.940652
test set rmse:0.977024  19091.5 20000
1       0.88751
test set rmse:0.961471  18488.5 20000
2       0.856155
test set rmse:0.956635  18303   20000
3       0.83007
test set rmse:0.95345   18181.3 20000
4       0.806603
test set rmse:0.951036  18089.4 20000
5       0.785051
test set rmse:0.949095  18015.6 20000
6       0.765052
test set rmse:0.947477  17954.2 20000
7       0.74637
test set rmse:0.946094  17901.9 20000
8       0.728841
test set rmse:0.944896  17856.6 20000
9       0.712336
test set rmse:0.943844  17816.8 20000
10      0.696752
test set rmse:0.942912  17781.7 20000
11      0.682
test set rmse:0.942084  17750.4 20000
12      0.668007
test set rmse:0.941342  17722.5 20000
13      0.65471
test set rmse:0.940678  17697.5 20000
14      0.642049
test set rmse:0.940086  17675.2 20000
15      0.629976
test set rmse:0.939556  17655.3 20000
16      0.618451
test set rmse:0.939079  17637.4 20000
17      0.607435
test set rmse:0.938654  17621.4 20000
18      0.596891
test set rmse:0.938278  17607.3 20000
19      0.586791
test set rmse:0.937946  17594.9 20000
20      0.577106
test set rmse:0.937658  17584   20000
21      0.567812
test set rmse:0.93741   17574.8 20000
22      0.558885
test set rmse:0.937201  17566.9 20000
23      0.550304
test set rmse:0.93703   17560.5 20000
24      0.542048
test set rmse:0.936893  17555.4 20000
25      0.534101
test set rmse:0.936789  17551.5 20000
26      0.526444
test set rmse:0.936713  17548.6 20000
27      0.519064
test set rmse:0.936666  17546.9 20000
28      0.511945
test set rmse:0.93665   17546.3 20000
29      0.505075
test set rmse:0.936665  17546.8 20000
30      0.49844
test set rmse:0.936704  17548.3 20000
31      0.49203
test set rmse:0.936773  17550.9 20000
32      0.485835
test set rmse:0.936871  17554.6 20000
33      0.479843
test set rmse:0.936997  17559.3 20000
34      0.474045
test set rmse:0.937149  17565   20000
35      0.468433
test set rmse:0.937325  17571.6 20000
36      0.462996
test set rmse:0.937528  17579.2 20000
37      0.457727
test set rmse:0.937745  17587.3 20000
38      0.452617
test set rmse:0.937977  17596   20000
39      0.447656
test set rmse:0.938208  17604.7 20000
40      0.442838
test set rmse:0.938438  17613.3 20000
41      0.438156
test set rmse:0.938661  17621.7 20000
42      0.433605
test set rmse:0.938885  17630.1 20000
43      0.429178
test set rmse:0.939114  17638.7 20000
44      0.42487
test set rmse:0.939334  17647   20000
45      0.420675
test set rmse:0.93956   17655.5 20000
46      0.41659
test set rmse:0.939798  17664.4 20000
47      0.41261
test set rmse:0.940046  17673.7 20000
48      0.40873
test set rmse:0.9403    17683.3 20000
49      0.404943
test set rmse:0.940558  17693   20000
test set rmse:0.940558  17693   20000
duration:271.64 s!

