begin initialization: 
initialization end!
begin iteration: 
0	0.940628
1	0.887478
2	0.856126
3	0.830043
4	0.806579
5	0.785029
6	0.765032
7	0.746352
8	0.728824
9	0.712322
10	0.696739
11	0.681988
12	0.667996
13	0.6547
14	0.64204
15	0.629968
16	0.618444
17	0.607429
18	0.596886
19	0.586786
20	0.577102
21	0.567809
22	0.558883
23	0.550302
24	0.542047
25	0.534099
26	0.526444
27	0.519063
28	0.511945
29	0.505075
30	0.49844
31	0.492031
32	0.485835
33	0.479844
34	0.474046
35	0.468434
36	0.462997
37	0.457728
38	0.452619
39	0.447658
40	0.44284
41	0.438158
42	0.433608
43	0.429181
44	0.424873
45	0.420678
46	0.416593
47	0.412613
48	0.408733
49	0.404946
3.54009	5	2.13134
3.71527	3	2.64295
4.32914	5	3.093
3.91253	5	4.2756
3.20876	3	4.31918
3.52313	4	4.54659
4.00135	4	4.54659
3.68273	3	5.01271
3.23792	2	6.54516
3.57724	3	6.87836
3.60079	4	7.03773
2.19465	2	7.07562
3.37419	4	7.46726
3.18661	5	10.7556
3.52364	4	10.9826
3.29552	3	11.0699
3.46371	4	11.3575
3.05292	3	11.3603
3.14622	3	11.3817
4.22605	4	11.4328
4.10666	5	12.2308
4.03734	4	12.2322
3.23113	3	12.2856
4.64435	5	12.4121
3.41275	4	12.757
3.093	3	12.7656
3.8968	3	13.5699
3.86492	3	14.318
3.11078	4	15.1087
3.38882	3	15.2599
3.46575	1	21.3398
3.61763	4	21.486
2.20715	1	22.9432
2.72076	4	24.5797
3.676	5	26.3326
3.6819	5	28.07
2.64351	4	29.9101
2.91708	3	29.917
3.8756	5	31.1812
3.18245	4	31.8496
3.61455	5	33.7691
3.79929	3	34.408
3.94753	5	35.5157
4.00456	3	36.5248
4.4675	4	36.7433
4.34379	5	37.174
3.15974	2	38.519
2.33376	1	40.2979
2.19585	1	41.7279
3.61021	4	41.8799
3.17963	5	45.1936
2.37821	1	47.0931
3.92209	5	48.255
4.4157	5	48.5964
3.55856	3	48.9084
2.90385	3	48.9176
2.06664	1	50.0553
3.37534	4	50.4455
3.33075	3	50.5549
3.53029	4	50.7756
3.89712	5	51.9919
2.54432	3	52.1995
4.04396	4	52.2015
4.40532	4	52.3658
3.00239	1	56.3753
3.4896	1	62.5734
2.60701	2	62.9419
2.84455	2	63.6551
3.99854	5	64.658
4.17836	4	64.6899
4.03478	5	65.6215
2.75331	2	66.189
3.94748	4	66.1917
3.23582	3	66.2473
3.54113	4	66.4579
3.38902	4	66.8312
3.56106	4	67.0239
3.66329	3	67.4638
4.26734	5	68.0006
4.10987	5	68.793
4.64184	5	68.9212
3.98182	5	69.9579
4.12236	5	70.7282
4.08942	3	71.915
4.26708	5	72.4522
3.61696	4	72.5989
4.27518	4	72.6746
3.95234	4	72.6769
3.83867	3	73.3803
4.24764	3	74.9369
4.30594	5	75.4186
3.98821	4	75.4187
3.82737	5	76.7938
4.03334	3	77.8616
3.65674	3	78.2929
3.93308	5	79.4312
3.66402	4	79.5441
4.01583	5	80.5127
3.81557	4	80.5467
4.14935	4	80.569
3.73464	4	80.6394
3.99066	2	84.6021
3.68022	4	84.7044
3.56011	3	85.0181
3.30895	3	85.1136
3.13415	1	89.6682
3.73338	5	91.2725
3.50449	4	91.518
3.73899	5	93.1082
2.60176	2	93.4703
3.34662	3	93.5904
3.13239	4	94.3432
3.66816	5	96.117
2.96043	4	97.1977
3.41131	4	97.5442
3.24687	3	97.6052
3.37375	2	99.4924
2.77092	5	104.461
3.61101	4	104.612
3.70903	4	104.697
3.85634	5	106.005
2.06035	1	107.129
3.87279	4	107.146
3.53942	4	107.358
2.83254	2	108.051
3.35671	5	110.751
2.40219	1	112.717
3.2796	2	114.355
3.98729	5	115.38
2.65891	1	118.132
2.62078	1	120.759
3.95557	3	121.672
2.70932	2	122.176
3.85662	4	122.196
2.50616	1	124.465
2.76119	4	125.999
4.53901	3	128.368
3.47235	4	128.646
4.14793	3	129.964
4.59242	5	130.13
4.29992	5	130.62
3.74715	4	130.684
3.41734	4	131.024
3.03045	3	131.025
3.27661	3	131.101
2.9843	3	131.101
3.50204	4	131.349
4.01801	4	131.35
3.71471	3	131.86
2.91557	4	133.036
3.2305	4	133.629
3.73958	4	133.696
3.58997	3	134.044
3.36189	3	134.175
3.32187	3	134.279
4.23626	5	134.862
1.30855	1	134.957
4.27548	1	145.686
4.19168	5	146.34
2.64605	1	149.049
2.39117	2	149.202
4.02007	2	153.283
2.83397	2	153.978
2.53934	3	154.19
3.18202	2	155.588
3.37236	3	155.726
4.33189	4	155.836
2.53335	2	156.121
2.64571	2	156.538
3.36599	4	156.94
3.3496	5	159.664
2.8966	2	160.468
3.21376	4	161.086
3.13559	1	165.647
3.09325	3	165.655
2.66173	1	168.417
3.34019	1	173.893
2.63849	1	176.578
2.93715	3	176.582
3.69382	3	177.063
2.84402	4	178.399
2.76938	3	178.452
2.64125	3	178.581
2.74279	3	178.647
2.97553	3	178.648
5	5	178.648
4.04493	4	178.65
4.18864	3	180.063
5	4	181.063
4.50432	5	181.309
5	5	181.309
5	5	181.309
5	3	185.309
5	4	186.309
5	5	186.309
3.69831	4	186.4
3.01334	3	186.4
2.89205	4	187.627
3.09393	4	188.448
2.38533	4	191.055
3.42907	5	193.523
2.96536	4	194.594
3.65995	1	201.669
3.61415	3	202.046
2.48466	2	202.281
3.93934	5	203.406
2.82618	3	203.436
2.80935	3	203.473
3.69776	3	203.96
3.90912	5	205.15
2.81334	3	205.184
3.3198	5	208.008
2.2292	1	209.518
2.21278	3	210.138
2.9697	3	210.139
3.4914	3	210.381
3.36987	5	213.038
3.33455	3	213.15
2.65072	2	213.573
4.0261	4	213.574
3.87161	3	214.334
3.7088	3	214.836
3.3286	5	217.63
3.64392	4	217.756
3.02832	3	217.757
2.72106	3	217.835
3.44106	4	218.147
2.33933	2	218.263
2.81063	4	219.677
2.95624	3	219.679
2.37942	2	219.823
3.32296	2	221.573
3.37092	1	227.194
1.8516	1	227.92
2.57249	1	230.392
2.36453	4	233.067
2.40882	3	233.417
2.68373	1	236.252
2.11231	1	237.489
2.35036	1	239.312
3.13778	3	239.331
2.36134	2	239.462
2.07686	1	240.622
2.53199	3	240.841
3.33257	5	243.621
2.387	3	243.997
3.25651	4	244.549
2.09273	2	244.558
2.99384	1	248.533
2.1452	4	251.974
2.61702	2	252.354
2.83234	2	253.047
2.34236	2	253.164
2.39934	1	255.123
2.60641	1	257.703
3.09484	3	257.712
2.02536	3	258.662
2.81905	1	261.971
2.71026	1	264.896
2.41246	3	265.241
2.34833	3	265.666
3.19397	3	265.703
2.93707	1	269.456
2.41931	4	271.954
3.02358	4	272.908
1	1	272.908
2.66023	3	273.023
3.2854	5	275.963
3.60568	3	276.33
3.07876	5	280.021
3.4216	4	280.355
3.23835	5	283.459
1	1	283.459
2.44397	1	285.544
2.25094	2	285.607
3.48741	3	285.844
1.88377	1	286.626
2.5085	1	288.901
1.32723	1	289.008
3.72561	5	290.632
3.31286	3	290.73
3.69966	4	290.82
4.09843	4	290.83
3.79386	2	294.048
3.62043	4	294.192
3.94602	4	294.195
3.91953	5	295.362
3.73434	3	295.902
3.36383	3	296.034
3.58668	4	296.205
3.69025	3	296.681
3.66663	4	296.792
3.69885	2	299.678
4.04834	5	300.584
3.82344	5	301.968
3.05552	2	303.083
3.75962	5	304.621
2.98894	3	304.621
3.65336	5	306.435
3.6459	4	306.56
4.18492	5	307.224
3.96888	5	308.288
4.02273	5	309.243
3.58082	2	311.742
3.64196	3	312.154
3.55299	3	312.46
3.65584	3	312.89
3.56275	4	313.081
3.82541	4	313.111
3.88919	4	313.124
4.03806	4	313.125
3.60829	3	313.495
3.81353	3	314.157
4.00253	3	315.162
3.50775	4	315.404
3.99711	5	316.41
4.19362	4	316.448
3.31193	3	316.545
3.93901	3	317.427
3.91715	4	317.433
3.71227	4	317.516
3.8822	5	318.766
3.78118	4	318.814
3.58075	4	318.989
3.62533	5	320.879
3.48858	3	321.118
3.52983	2	323.458
3.57117	4	323.642
3.74363	4	323.708
3.66701	2	326.487
3.02791	2	327.543
3.5217	2	329.859
2.47965	2	330.089
3.66047	3	330.525
3.08051	2	331.693
3.17166	4	332.379
4.28166	4	332.458
4.23372	4	332.513
3.68292	3	332.979
3.79572	4	333.021
3.12705	1	337.545
3.64665	2	340.257
3.64242	4	340.385
3.30448	4	340.868
3.56136	4	341.061
3.45312	5	343.454
3.51498	3	343.719
3.29109	2	345.386
3.35574	5	348.089
2.78307	1	351.269
3.11585	1	355.745
4.08567	4	355.753
4.10589	5	356.552
4.30507	4	356.645
3.82588	5	358.024
4.38618	5	358.401
3.89922	5	359.612
3.65411	4	359.732
3.93794	5	360.86
4.10623	5	361.659
3.63862	5	363.512
4.19428	4	363.55
3.75197	4	363.611
3.55795	4	363.807
3.65005	4	363.929
3.41035	3	364.098
3.61186	4	364.248
3.98205	5	365.285
4.19864	4	365.324
4.29316	4	365.41
3.7783	4	365.459
3.53407	3	365.744
3.68469	4	365.844
3.70777	5	367.514
3.91417	3	368.349
3.69291	5	370.058
3.73579	3	370.599
4.10738	4	370.611
3.23977	3	370.668
3.21256	4	371.288
4.3053	5	371.771
4.63877	5	371.901
4.16414	4	371.928
4.52664	5	372.152
4.33236	5	372.598
4.04532	4	372.6
3.63785	5	374.456
3.40957	5	376.985
3.63187	3	377.384
3.32645	5	380.185
2.81013	3	380.221
4.63176	4	380.62
3.82698	5	381.996
4.09757	3	383.201
4.45782	5	383.495
3.50461	3	383.75
4.051	5	384.65
4.25842	5	385.2
3.88629	5	386.44
3.16461	4	387.138
3.82581	2	390.472
3.78233	5	391.955
4.17678	3	393.339
4.90467	5	393.348
4.16872	5	394.04
4.47238	5	394.318
4.6068	5	394.472
3.18158	3	394.505
3.54215	3	394.799
4.26519	4	394.87
4.24513	5	395.44
4.00341	5	396.433
4.17039	5	397.121
3.82204	3	397.797
4.06561	5	398.67
4.02988	4	398.671
4.62507	3	401.312
4.52596	5	401.536
4.37291	3	403.421
4.66313	4	403.861
4.94832	5	403.864
4.26027	3	405.452
4.30167	4	405.543
4.35636	3	407.383
4.61631	4	407.762
4.45572	4	407.97
4.55026	5	408.172
4.36018	5	408.582
4.64475	5	408.708
4.61043	5	408.86
4.44224	5	409.171
4.53898	5	409.383
4.06831	5	410.251
4.32806	5	410.703
4.24656	5	411.271
4.56908	5	411.456
4.11431	4	411.469
4.40467	5	411.824
4.53902	4	412.114
4.02462	1	421.263
4.81436	5	421.297
3.57591	5	423.325
3.54008	3	423.617
4.17885	4	423.649
3.67482	3	424.104
4.09549	4	424.113
3.02501	3	424.114
2.87613	1	427.634
3.06527	4	428.507
2.99559	4	429.516
4.07467	3	430.671
4.22737	3	432.178
4.02223	3	433.223
3.5846	3	433.564
4.65098	5	433.686
3.85807	4	433.706
3.91859	4	433.713
3.90416	5	434.914
3.65298	5	436.728
4.24386	5	437.3
3.88412	4	437.313
3.92305	5	438.473
3.99148	4	438.473
3.87234	4	438.49
3.14785	4	439.216
3.63583	4	439.348
3.4091	4	439.698
4.30054	5	440.187
4.15553	4	440.211
4.05715	5	441.1
4.43996	5	441.414
4.2678	5	441.95
4.38654	3	443.872
3.93853	4	443.876
4.25107	4	443.939
4.30494	5	444.422
3.92731	3	445.282
2.79041	4	446.745
3.50302	5	448.986
3.53663	4	449.201
4.07681	4	449.207
3.95037	4	449.209
3.42417	2	451.238
4.61356	4	451.614
4.62989	4	452.011
4.36042	5	452.42
4.43667	3	454.484
4.82916	4	455.171
4.6154	5	455.319
4.137	5	456.064
4.54838	3	458.462
4.30507	5	458.944
4.33374	5	459.388
3.85986	5	460.688
4.60555	5	460.844
4.28808	4	460.927
4.69903	5	461.017
3.99741	5	462.023
4.33156	5	462.469
4.47997	3	464.66
4.61873	5	464.805
4.08248	2	469.142
4.56499	3	471.591
4.44461	4	471.789
4.63243	5	471.924
4.43768	5	472.24
4.59113	5	472.407
4.43942	5	472.721
4.08921	3	473.908
3.06552	2	475.043
2.89077	4	476.274
4.2881	3	477.933
2.53404	5	484.014
3.80189	4	484.053
3.7135	3	484.562
3.22051	3	484.611
2.48073	4	486.919
3.79638	5	488.367
2.93955	3	488.371
3.57127	5	490.412
2.7928	2	491.041
2.37603	3	491.43
3.28104	1	496.633
3.5409	3	496.926
3.52519	5	499.101
3.02882	4	500.044
4.02179	3	501.088
3.49592	5	503.351
4.07995	5	504.197
4.01526	4	504.197
4.48368	5	504.464
3.64814	1	511.476
4.37828	3	513.376
4.28119	4	513.455
4.29703	5	513.949
4.044	4	513.951
3.47658	3	514.178
